N,P,K,temperature,humidity,ph,rainfall,label
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
83.26912343,42.33226525,41.5282548,21.58739903,82.47626389,6.128192646,205.7256041,rice
74.39559244,55.29032658,40.87204299,23.16775795,81.39655818,6.637985758,245.4436584,rice
63.43583339,53.29910754,43.63590916,23.72008801,81.60957837,7.749220463,262.5289981,rice
74.80154237,39.44110155,38.99928729,25.98929732,81.32474774,6.507315463,239.3537224,rice
89.21587089,48.96045532,39.66411755,20.93195761,82.31345282,7.410979643,261.6046935,rice
72.74491558,37.64961326,41.6212268,24.36614628,82.9880041,6.596771499,237.606853,rice
72.87804457,54.23753257,40.17322506,22.78778588,81.37167278,6.241796294,265.7009114,rice
82.33069187,47.55048997,38.44138083,20.3038435,82.69364866,5.878612921,214.5602738,rice
77.30732127,48.95345603,38.17527839,23.10347377,82.85643469,5.998038041,256.7302721,rice
76.24304757,57.75885064,39.65039459,24.83085937,82.02622329,6.933176696,238.4624403,rice
86.64560888,52.22130963,39.53686623,25.54266517,82.63027896,5.557998577,231.1862442,rice
85.86256074,48.1019119,40.34974335,23.32629899,81.72170682,7.361314104,236.3916718,rice
83.26431043,55.81906418,41.19938939,26.3340787,81.44013316,5.394376677,262.1263538,rice
82.72201918,48.35580267,38.3993122,22.40975773,82.16087753,6.419714956,187.2772191,rice
88.59042763,44.7420468,38.22683513,24.08429865,81.30433741,6.317280585,223.370694,rice
67.90737158,46.3120085,40.31989187,22.86309419,81.35528492,6.783537706,261.6437625,rice
84.79793945,44.27254087,38.94715027,22.26159014,81.81183205,6.592024189,262.3086391,rice
87.43064254,35.57254279,39.76369449,23.50215617,81.58188892,6.22709657,227.0356741,rice
85.14681771,43.62154342,38.28125133,22.49580982,80.61009279,6.366021392,258.5241159,rice
81.47019773,39.78850233,38.73520274,25.57181399,83.51182007,6.29152558,274.2362873,rice
84.31164314,46.53249911,37.13042391,22.43927414,80.66819912,6.138980772,203.3024035,rice
84.1184662,46.94649433,42.34564025,24.55606174,82.14835663,5.168043023,263.4972118,rice
78.55577215,54.3389985,38.54555701,23.49106123,82.29846697,6.113700437,244.5908435,rice
73.67474955,44.16160068,41.07348386,21.91058688,81.58231677,6.731439362,245.5171536,rice
90.43932055,51.37743149,39.4160824,25.16573028,81.96602837,6.948503583,226.8740351,rice
76.39711631,47.25671533,39.61908687,24.37328478,81.83294566,7.496719528,223.7371636,rice
90.09588919,57.53907034,40.69923002,25.50030338,83.38232828,6.613741163,270.0541965,rice
87.06099531,44.38438084,40.59803878,23.78718589,81.37238816,6.800627225,236.225022,rice
62.05846949,46.12055497,41.25404595,22.34325787,84.0522556,6.764534902,207.3782746,rice
80.99750383,47.23196073,35.03390308,22.33132249,81.78248824,6.766079382,225.993067,rice
75.83620051,50.97753899,39.74229125,22.52532887,84.0563826,5.93565641,242.3277312,rice
85.95846644,39.74553597,38.63553954,24.04437932,81.32452129,6.774057847,201.0108115,rice
80.43380103,41.90423218,41.12594988,24.34947934,82.38099402,6.761908731,230.1858864,rice
88.85651435,48.80407961,40.10551162,21.0470059,82.43013223,5.052237538,269.1669722,rice
85.58823451,48.19563483,43.86432793,24.47564087,83.81497543,6.846047742,265.4214976,rice
84.74883751,53.95828843,40.04842477,25.92247021,83.48231999,5.965061113,225.5385349,rice
92.97615822,55.99109396,36.80459547,26.55350848,81.25048241,6.322489509,266.5314315,rice
87.98958719,41.93332037,37.30537153,22.75644205,83.05569249,6.176993253,278.7563346,rice
68.08227584,48.68755594,41.49742167,21.66771311,81.90793566,6.950297113,278.3258897,rice
70.98836425,46.27245137,40.51674099,22.88448658,82.41978516,5.915481252,253.6727769,rice
64.26831848,47.91897548,38.18618315,24.68095735,83.42626198,6.058987645,226.6290161,rice
67.58514154,48.82387427,41.68018919,24.92319433,82.57283671,5.539192862,223.1968411,rice
81.96350323,54.09133254,38.18541244,24.84541608,81.41520338,6.210076219,211.4209462,rice
73.12634472,42.09753791,37.29513355,21.88117907,84.39989856,6.39832042,282.9138029,rice
76.06188414,45.43129409,44.34313221,25.57813051,81.85021744,7.174675016,242.6974612,rice
79.63483588,41.25129841,39.27259153,23.23232137,81.45769949,6.29478164,215.9149213,rice
84.76313741,46.08762803,41.22412586,24.35985969,83.3419069,5.392032154,218.1162438,rice
83.33152705,45.94028397,39.04108521,24.40524915,84.02453253,7.403457694,265.2264281,rice
89.13700371,43.19265553,41.18204218,23.13832729,80.86110088,6.621093793,215.897815,rice
81.27152233,47.63410049,42.86878505,23.04937234,81.09081166,7.362316398,221.5587298,rice
69.81896971,36.75917211,41.92922949,24.27980038,82.25439309,5.949056038,222.7639303,rice
84.01221661,56.13770297,41.71331989,21.56363877,80.47275021,6.06334709,224.4604017,rice
82.1331192,52.39740763,40.79302322,23.49965963,82.63366708,7.062688079,205.1297436,rice
74.70006244,59.46213385,41.9865637,23.20696025,82.85037759,6.216400858,260.8971541,rice
87.21039565,45.76848577,38.20424055,25.65771951,82.80835116,6.166399049,273.6964395,rice
83.71961376,39.28437154,40.06962605,24.1218081,83.85129969,6.268830247,283.534543,rice
85.1157624,47.96431231,39.01252752,24.76519724,82.85669462,6.497147177,238.6124731,rice
88.36176234,38.45513982,43.73803775,24.08740127,81.09619493,6.697790174,267.8795494,rice
81.71147909,52.64998381,38.8163058,21.38212221,82.84208352,7.037963284,202.6938117,rice
92.52647741,48.66551276,35.85459248,23.39749517,80.2403882,5.81589861,253.9920009,rice
80.81252172,40.9846957,38.7455582,20.90635727,83.01469907,7.262301345,232.3602958,rice
74.8613158,54.59638552,44.37631024,23.90095451,83.47417589,6.51365393,243.463907,rice
92.79348803,54.34549854,38.95922887,22.2011561,83.41430736,6.51034341,277.868318,rice
71.11861601,43.46151655,41.62577377,22.59547704,81.12726509,6.501006089,220.7526029,rice
82.3789308,48.67592421,41.84890973,20.10943351,82.14632609,6.314339852,231.2816885,rice
92.88018707,42.85469345,37.51274285,22.88384995,81.39545393,6.419241181,192.8246225,rice
97.42977396,49.53003922,39.55809352,23.05636379,81.4402599,5.952811972,231.611028,rice
75.40955735,54.38449119,37.36490388,25.1863085,82.95559146,6.646177186,221.104516,rice
78.76250131,50.55274969,38.79615716,25.42451986,80.41424761,5.427676978,256.4816001,rice
83.91370371,53.01273692,37.73960419,24.96916487,81.77192362,6.503074517,261.1289571,rice
66.90059123,48.60128018,39.53042133,23.83454767,83.07467838,6.823831634,213.9135453,rice
69.29753463,47.25352092,38.47632384,23.4973576,82.54451124,7.167140868,243.1664755,rice
86.30986328,49.42916624,37.49822642,23.85888384,82.54757557,6.187759578,266.9477853,rice
86.9456525,45.25488132,41.90509147,21.97758103,82.40648413,6.666512271,221.2905443,rice
80.02802733,50.42059618,38.1897853,24.3662071,83.2026426,6.375444495,233.150084,rice
88.13710314,37.33388994,44.00495073,23.06768803,82.14522247,6.915842121,246.703679,rice
77.24495131,51.40726977,41.42288628,26.42444039,82.04595544,7.400761063,272.0869583,rice
82.59459423,42.49837844,38.4499969,24.73467211,82.42331184,5.678946544,189.0378534,rice
77.99871944,43.49902346,38.60925461,26.70303979,82.29482949,6.230245336,205.5834841,rice
80.96860176,47.80616442,38.424549,24.25464724,83.29375213,7.226943266,215.3684189,rice
68.49664333,52.28239032,41.78156721,26.00098379,80.66528531,6.441766024,203.1972587,rice
74.7091507,48.54041716,36.78905833,24.30707326,81.60062419,6.418346105,202.9858515,rice
66.63849017,46.18992577,40.20032161,25.58280202,81.98317273,6.432156549,240.8185223,rice
69.77865498,43.76124796,41.10235163,24.12086067,84.44755871,6.502370511,209.722914,rice
74.26407952,51.21085328,41.79609606,23.91924732,81.54034254,5.760837201,220.4555021,rice
76.53305802,55.30246807,38.96889271,22.3939314,82.93029424,6.860595547,251.780423,rice
81.43760677,46.45276344,38.16030193,24.25228616,81.84074566,5.796385362,213.9387259,rice
82.21173956,42.46397129,41.11341906,25.34127916,82.00088413,6.081979005,215.0212831,rice
75.2220834,52.59215164,39.91206064,23.89514908,81.08587534,5.61665113,247.8961608,rice
81.83132307,44.43571331,37.98070616,21.31512851,83.61040678,5.761225073,263.0527951,rice
83.12351585,49.63511677,38.88535298,25.12658133,82.47924465,6.41949877,273.4848575,rice
78.79207002,51.76512493,38.19198417,21.9441893,83.06235681,7.200515978,239.5223618,rice
70.36670269,52.86510024,35.53925769,24.68566389,80.78355656,6.25677503,250.2797851,rice
88.77362853,43.39776986,40.07103709,25.02563818,83.8546356,6.891119249,226.3173113,rice
70.32654976,45.36849303,38.63930549,24.50892062,81.82522215,6.302468142,238.5495455,rice
83.41799597,46.19692433,41.52878753,23.30688813,83.24538631,5.969048308,223.145072,rice
82.71474553,49.71763579,37.52392445,22.31637704,82.87424271,5.811872333,292.6083526,rice
63.17732511,49.86870935,42.78425641,21.47041491,83.22441318,6.114751544,264.4718746,rice
79.28121637,41.46155243,41.99154774,25.47441611,84.38549401,6.936330711,215.4037343,rice
67.92102233,37.66932769,37.1537051,23.77856665,82.43419857,5.799300079,190.6141301,rice
87.85898,47.81561864,42.31672884,21.96249731,83.31359753,6.247548523,218.2524163,rice
79.60613602,51.08438948,40.54240297,23.37970078,81.23299115,6.712295409,242.4607549,rice
70.57714004,47.49927813,42.99510914,23.32491376,82.1652516,7.225711024,259.4458876,rice
78.95153404,42.44947869,39.31103407,26.17345666,81.55686744,6.798863564,233.1184062,rice
78.85665539,46.5644222,40.8718635,20.97244353,82.95947337,7.011560969,260.1993687,rice
78.40873879,43.79952109,41.05760582,24.24976402,82.63154218,6.819374479,248.9377049,rice
69.28274189,50.02603663,39.5700528,22.9936009,82.46536267,5.877068828,247.1116979,rice
82.30865974,49.44696213,39.60442151,22.2562523,82.85828419,6.085208892,227.3152447,rice
86.41757827,50.8721301,38.03259633,24.47697227,83.1119563,6.092270627,246.7423358,rice
77.81793845,51.25763537,39.02994479,24.44201289,82.84119371,6.914100279,239.1162494,rice
86.60933813,49.53839844,39.08278312,25.9329888,81.93535217,5.396392976,257.6931927,rice
85.09026629,48.28029586,39.28207052,23.7075156,81.9277303,6.960183132,221.2580874,rice
81.14665263,57.11821804,42.23855063,25.78167008,80.99658328,5.490415483,263.781262,rice
81.84715992,53.8809382,37.71474932,23.60108551,83.07712664,6.888087405,188.4265196,rice
93.32910973,42.37467141,38.85678713,25.3540682,80.8357924,6.567509918,219.7433827,rice
60.37679913,42.70716174,41.57043471,22.63464746,81.2952404,6.744183491,245.2668517,rice
76.44702588,40.59172315,38.75076241,22.91958496,81.7820857,6.774303669,253.6995586,rice
89.9823894,41.94878273,39.29879712,21.88304857,80.42193765,6.263950791,237.2934429,rice
80.86446437,44.2962391,36.7616763,22.18711566,81.11794382,5.982358655,257.114905,rice
84.81315081,35.05039022,38.44410425,25.08658072,82.98551035,6.111863492,260.8830964,rice
81.09577066,46.38760562,37.46435575,23.26813993,80.59698774,5.768460998,210.427674,rice
76.41609484,40.68910664,42.30113687,23.29796503,81.77382114,5.461416296,248.5045929,rice
74.45408248,52.6158758,38.9779333,22.89573764,81.6610145,6.718082568,237.9631475,rice
73.06947315,41.81735678,42.87950314,22.32284539,81.93773706,6.875261538,255.9961386,rice
97.23161039,50.75556287,38.7066151,24.35696992,81.340817,6.978099643,231.3691658,rice
69.93655972,52.62430149,38.85607568,24.87595835,81.70600646,7.371538393,235.6021307,rice
91.88376884,57.59150063,42.15538994,24.7192928,83.85487752,6.944194828,252.8673659,rice
93.24261247,44.27502344,38.81157542,22.51029884,81.57649266,6.51495993,229.6547338,rice
64.68599125,42.26578802,41.70485344,21.29747007,84.07892076,6.982543754,206.1530339,rice
76.3411929,43.83610917,36.67777999,24.07148991,81.55782764,6.304843031,210.7135334,rice
74.59277703,51.70077644,40.32599483,23.32936236,84.88116279,6.517922956,243.9874614,rice
89.40305665,36.15984363,38.2533586,23.96001013,81.47656519,6.567771892,205.8017534,rice
84.012521,42.34574354,40.9947586,23.11060192,82.13001037,6.807986434,245.3699242,rice
97.02459752,51.50544739,39.17549571,21.20068735,82.51863909,5.607194149,270.0182852,rice
77.44334507,50.5252947,41.92301476,23.83951122,83.11909647,6.847544451,245.9696387,rice
92.9494905,48.57835827,40.06139184,26.34080101,83.04625246,6.357655541,211.5376685,rice
88.27787455,51.08535577,37.70743864,24.78147987,82.24905276,6.239912995,247.6999844,rice
87.42814647,41.50074224,38.32091401,23.05250485,82.54877329,6.067565577,261.3539768,rice
62.46291167,44.86474848,42.95777657,21.32379098,82.09265484,6.999897844,284.7933715,rice
72.61515738,49.61952562,39.00401989,23.60369706,82.99080872,6.073102414,246.9060225,rice
71.5872601,46.25849038,38.46183437,22.98023953,83.44797674,6.078394077,216.3871027,rice
64.2118097,50.99890166,42.14365878,23.73588956,83.17005462,5.919341803,240.8790684,rice
73.24989662,53.04492405,37.71523593,24.66577698,80.51413998,6.612180281,210.946768,rice
72.54443077,43.72629709,38.22682197,22.69535824,84.35578594,6.504469422,290.202592,rice
84.36055084,47.07357634,42.43404951,25.18072884,82.24689986,6.812025817,261.8931151,rice
88.49929476,41.85523544,40.0641586,23.04708337,81.9002138,6.65113133,188.3632681,rice
79.47868466,41.83966259,41.39849966,24.42742014,84.12828075,5.621049228,220.7646576,rice
80.8304823,43.23193254,38.6795465,23.80928673,84.56883703,7.1455924,250.3576393,rice
87.65930717,50.63157864,39.47816802,21.86118426,80.824466,6.632500351,232.4718411,rice
84.85874473,52.83208865,42.38759018,24.40754225,80.83251713,7.246718619,247.5219966,rice
71.56106094,40.99033326,40.37153787,23.95048149,82.37541691,5.423211968,240.1766156,rice
85.34811621,56.64246895,40.46408424,20.66121412,81.51084401,6.259380531,219.5477429,rice
90.7281932,49.35999492,41.9732045,22.20177706,83.50457399,6.779740285,195.9244626,rice
67.22063939,57.31369695,41.75621614,23.08782769,82.00991391,5.795671564,257.2628054,rice
87.25309983,51.594583,36.80712388,24.27145846,83.7352775,5.631515732,275.1785287,rice
86.41000246,40.81689476,40.40572481,25.279515,83.77461087,6.402909214,258.6899615,rice
75.78157428,52.60606806,38.19931359,25.14605734,82.58580241,6.988215111,241.5100283,rice
80.42307246,37.60340269,44.38864568,24.37383313,81.23749613,6.489567269,241.6247476,rice
71.63311936,52.57987136,38.58278029,21.43035371,83.22136733,7.104954539,223.6547809,rice
92.34862365,47.5548039,37.12875706,22.07380452,81.50476149,6.303426497,247.5864678,rice
78.54443299,43.13173373,39.52525863,21.73678896,82.29672204,6.89509003,214.9752032,rice
76.79080069,50.40803281,42.6575331,25.26880223,83.49356151,5.897209929,223.1010388,rice
82.94145529,50.3128169,40.44090699,22.44600126,83.28961795,6.442872107,265.3215839,rice
81.15180428,36.79518319,40.94671705,23.75394775,81.08732273,6.257046179,235.7189395,rice
87.37744698,51.5192159,41.79726603,20.26733469,82.79759887,5.819493383,236.6483088,rice
98.03828601,45.77971303,38.77609866,23.68718292,81.40352647,6.259169914,213.8780524,rice
90.28730959,50.25784351,39.5829412,21.43743091,81.62671453,6.17696238,204.8853905,rice
75.12457287,55.06921623,36.8009613,23.89452384,82.59745203,6.307026896,222.1886171,rice
77.92720563,48.90657803,38.49446734,24.1906857,81.67335309,5.405907934,248.1799018,rice
85.60888339,53.30441286,38.53213335,23.59913434,81.48882271,7.122542235,242.1914551,rice
69.8355739,48.95712603,39.99771885,23.56493348,83.3839587,6.812875469,232.3625503,rice
74.01452294,48.70999769,40.37232759,23.17273808,82.99139323,7.237480977,238.3202007,rice
83.04376436,42.02462128,37.46527072,24.30946025,82.18582585,6.572570177,278.3873074,rice
89.46535716,47.46775386,40.25557652,22.73982403,81.6678787,7.100486312,203.2635306,rice
77.82827779,50.31471401,38.23958173,25.02446777,84.01406289,6.955361745,228.1669388,rice
90.86719021,39.69077047,43.55613921,22.59867452,81.86460478,6.48490982,271.0242903,rice
70.93996215,48.45754735,41.3799965,24.86595245,82.458421,7.151532035,274.7337431,rice
74.25444084,36.59266625,40.15958281,23.47806038,82.25379925,5.444129038,214.0162817,rice
82.59853131,43.7984871,37.3143295,25.25882142,82.61464781,6.484640241,222.7921253,rice
80.79925843,46.27354604,40.34440194,23.54533276,82.97979702,6.802617583,219.9005923,rice
70.38929858,55.06329028,42.15610563,25.76217962,81.23067367,5.843569762,210.6304454,rice
76.61257228,46.65015943,35.20517416,23.49090878,82.90986905,6.162121677,217.7454728,rice
71.07742396,45.80534821,42.00462986,25.75656364,81.06511956,6.545499117,224.3029561,rice
68.97911831,50.2530752,39.47249099,24.50483782,83.65618752,6.051638622,217.1199628,rice
78.08818699,57.81673459,40.95899273,23.66535493,80.57474472,6.211564596,233.507083,rice
71.47398183,56.32062769,39.7730477,23.65962954,83.09052217,6.676313664,251.406058,rice
73.04396508,44.97619223,38.91410852,24.80286341,81.69840086,5.552729357,213.3570328,rice
81.24764237,43.07716824,41.15064275,24.27716634,82.5207829,5.955704915,211.6079489,rice
80.11665044,46.60969462,39.46221557,23.85761522,81.99727528,5.641552445,262.1940597,rice
89.66832622,44.636815,38.17989229,20.95751178,83.69043425,6.03286328,234.4095116,rice
86.04379664,46.61115997,39.14502109,25.41596981,82.16709417,6.817095854,270.2969872,rice
86.27835698,49.23676472,38.99702543,23.26804187,83.43975111,7.156250445,237.2381375,rice
78.6589752,51.05395247,35.85528561,25.80492909,81.36711573,6.6931186,221.4550281,rice
83.71652167,43.63310689,39.46554414,26.41338105,83.28689066,7.50864207,247.0528515,rice
64.50249167,46.11803126,36.8455868,24.31353324,82.2790509,6.189135656,255.4958382,rice
79.99967814,51.47146031,41.43308769,23.49774669,82.49904426,6.494093549,217.8948229,rice
89.40115381,49.93304058,38.71375285,23.35048935,83.09903045,6.30236421,283.8344018,rice
70.59596526,52.06488798,43.29890315,22.73995253,82.62915092,6.118702242,285.3507413,rice
89.56961269,37.52382744,41.87061628,25.95945062,83.28470007,6.717246195,216.8434637,rice
68.58361714,43.77511789,39.13498259,25.27591255,82.26631925,6.019550124,188.9686709,rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
